occupation_title,soc_code,job_category,education_required,median_annual_wage_usd,employment_2024,projected_growth_pct_2024_2034,growth_outlook,ai_exposure_llm_human,ai_exposure_llm_gpt4,ai_exposure_aioe,ai_exposure_level,top_cognitive_ability,top_cognitive_family,distinctive_cognitive_strength,cognitive_demand_score,verbal_ability,reasoning_ability,quantitative_ability,memory_ability,perceptual_ability,spatial_ability,attention_ability,exposure_vs_median,growth_direction,four_futures_quadrant,human_gpt4_gap,abs_human_gpt4_gap
Cartographers and photogrammetrists,17-1021,Architecture And Engineering,Bachelor's degree,78380.0,13400.0,6.0,Faster than average,0.46,0.52,0.817,High,Written Comprehension,Verbal,Perceptual,3.107,3.72,3.23,2.94,2.5,3.043,2.315,2.81,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.06,0.06
Agricultural and food scientists,19-1010,Life Physical And Social Science,Bachelor's degree,78770.0,38700.0,6.0,Faster than average,0.658,0.456,0.823,High,Oral Comprehension,Verbal,Reasoning,3.369,3.999,3.78,3.252,2.707,2.888,2.228,2.978,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.202,0.202
Human resources specialists,13-1071,Business And Financial,Bachelor's degree,72910.0,944300.0,6.0,Faster than average,0.589,0.644,1.36,High,Oral Comprehension,Verbal,Verbal,2.922,4.028,3.211,2.315,2.38,2.503,1.625,2.5,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.05500000000000005,0.05500000000000005
Civil engineers,17-2051,Architecture And Engineering,Bachelor's degree,99590.0,368900.0,5.0,Faster than average,0.455,0.482,1.283,High,Deductive Reasoning,Reasoning,Quantitative,3.524,3.97,3.831,3.812,2.75,3.145,2.812,2.938,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.02699999999999997,0.02699999999999997
Surveying and mapping technicians,17-3031,Architecture And Engineering,High school diploma or equivalent,51940.0,59400.0,5.0,Faster than average,0.511,0.5,0.085,High,Written Comprehension,Verbal,Quantitative,3.073,3.371,3.187,3.28,2.62,2.958,2.53,2.812,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.01100000000000001,0.01100000000000001
Accountants and auditors,13-2011,Business And Financial,Bachelor's degree,81680.0,1579800.0,5.0,Faster than average,0.52,0.56,1.482,High,Written Comprehension,Verbal,Quantitative,3.275,3.892,3.536,3.94,2.875,2.96,1.625,2.78,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.040000000000000036,0.040000000000000036
Chemists and materials scientists,19-2030,Life Physical And Social Science,Bachelor's degree,86620.0,95500.0,5.0,Faster than average,0.459,0.431,0.767,High,Written Comprehension,Verbal,Quantitative,3.321,3.952,3.651,3.438,2.69,2.917,2.125,2.902,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.028000000000000025,0.028000000000000025
Public relations and fundraising managers,11-2030,Management,Bachelor's degree,132870.0,128900.0,5.0,Faster than average,0.538,0.556,1.294,High,Oral Expression,Verbal,Reasoning,3.251,4.093,3.733,2.815,2.62,2.627,1.94,2.88,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.018000000000000016,0.018000000000000016
Public relations specialists,27-3031,Media And Communication,Bachelor's degree,69780.0,315900.0,5.0,Faster than average,0.788,0.591,1.285,High,Oral Comprehension,Verbal,Verbal,3.012,4.127,3.463,2.06,2.38,2.293,1.625,2.935,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.19700000000000006,0.19700000000000006
"Compensation, benefits, and job analysis specialists",13-1141,Business And Financial,Bachelor's degree,77020.0,107000.0,5.0,Faster than average,0.474,0.474,1.441,High,Oral Expression,Verbal,Quantitative,2.994,3.752,3.286,2.94,2.38,2.83,1.5,2.56,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.0,0.0
Sales managers,11-2022,Management,Bachelor's degree,138060.0,619500.0,5.0,Faster than average,0.483,0.45,1.266,High,Oral Comprehension,Verbal,Memory,3.22,3.97,3.626,3.12,3.0,2.667,1.94,2.62,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.032999999999999974,0.032999999999999974
Sales engineers,41-9031,Sales,Bachelor's degree,121520.0,56800.0,5.0,Faster than average,0.534,0.511,1.145,High,Oral Comprehension,Verbal,Memory,3.315,3.998,3.697,3.185,3.0,2.92,1.94,2.87,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.02300000000000002,0.02300000000000002
Bioengineers and biomedical engineers,17-2031,Architecture And Engineering,Bachelor's degree,106950.0,22200.0,5.0,Faster than average,0.538,0.59,0.987,High,Written Comprehension,Verbal,Quantitative,3.451,3.97,3.837,3.63,2.62,3.163,2.31,2.87,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.051999999999999935,0.051999999999999935
Anthropologists and archeologists,19-3091,Life Physical And Social Science,Master's degree,64910.0,8800.0,4.0,As fast as average,0.517,0.44,0.697,High,Written Comprehension,Verbal,Reasoning,3.366,4.203,3.785,2.815,2.88,3.022,2.155,2.75,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.07700000000000001,0.07700000000000001
Environmental scientists and specialists,19-2041,Life Physical And Social Science,Bachelor's degree,80060.0,90300.0,4.0,As fast as average,0.71,0.522,1.014,High,Oral Comprehension,Verbal,Quantitative,3.252,3.992,3.572,3.202,2.502,2.832,2.157,2.798,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.18799999999999994,0.18799999999999994
Writers and authors,27-3043,Media And Communication,Bachelor's degree,72270.0,135400.0,4.0,As fast as average,0.774,0.877,0.988,High,Written Expression,Verbal,Verbal,2.97,4.108,3.456,1.872,2.06,2.417,1.782,2.56,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.10299999999999998,0.10299999999999998
Natural sciences managers,11-9121,Management,Bachelor's degree,161180.0,104300.0,4.0,As fast as average,0.487,0.531,1.328,High,Written Comprehension,Verbal,Verbal,3.212,4.03,3.578,3.127,2.54,2.722,1.873,2.792,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.04400000000000004,0.04400000000000004
Lawyers,23-1011,Legal,Doctoral or professional degree,151160.0,864800.0,4.0,As fast as average,0.475,0.425,1.329,High,Oral Expression,Verbal,Verbal,3.363,4.5,3.84,2.5,2.88,2.707,1.75,3.125,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.04999999999999999,0.04999999999999999
Sociologists,19-3041,Life Physical And Social Science,Master's degree,101690.0,3400.0,4.0,As fast as average,0.615,0.538,1.411,High,Written Comprehension,Verbal,Verbal,2.97,4.185,3.374,2.435,2.38,2.207,1.5,2.565,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.07699999999999996,0.07699999999999996
Health and safety engineers,17-2111,Architecture And Engineering,Bachelor's degree,109660.0,23800.0,4.0,As fast as average,0.568,0.504,0.995,High,Problem Sensitivity,Reasoning,Perceptual,3.362,3.927,3.731,3.02,2.67,3.193,2.5,2.748,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.06399999999999995,0.06399999999999995
Insurance sales agents,41-3021,Sales,High school diploma or equivalent,60370.0,568800.0,4.0,As fast as average,0.53,0.576,1.341,High,Oral Comprehension,Verbal,Quantitative,2.945,3.905,3.07,3.06,2.25,2.667,1.5,2.685,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.04599999999999993,0.04599999999999993
Property appraisers and assessors,13-2020,Business And Financial,Bachelor's degree,65420.0,77300.0,4.0,As fast as average,0.518,0.531,0.841,High,Oral Comprehension,Verbal,Quantitative,3.09,3.769,3.321,3.122,2.19,2.752,2.125,2.812,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.013000000000000012,0.013000000000000012
Fundraisers,13-1131,Business And Financial,Bachelor's degree,66490.0,134400.0,4.0,As fast as average,0.49,0.519,1.243,High,Oral Expression,Verbal,Verbal,3.047,4.062,3.446,2.685,2.38,2.29,1.685,2.815,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.029000000000000026,0.029000000000000026
Health education specialists,21-1091,Community And Social Service,Bachelor's degree,63000.0,71800.0,4.0,As fast as average,0.5,0.532,0.692,High,Oral Expression,Verbal,Verbal,2.965,4.095,3.339,2.12,2.0,2.377,1.88,2.69,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.03200000000000003,0.03200000000000003
Environmental engineers,17-2081,Architecture And Engineering,Bachelor's degree,104170.0,39400.0,4.0,As fast as average,0.5,0.556,1.344,High,Written Comprehension,Verbal,Quantitative,3.458,4.109,3.768,3.595,2.75,3.063,2.438,2.905,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.05600000000000005,0.05600000000000005
Physicists and astronomers,19-2010,Life Physical And Social Science,Doctoral or professional degree,166290.0,26400.0,4.0,As fast as average,0.529,0.594,1.36,High,Mathematical Reasoning,Quantitative,Quantitative,3.594,4.047,3.876,4.188,3.125,3.232,2.315,3.16,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.06499999999999995,0.06499999999999995
Credit counselors,13-2071,Business And Financial,Bachelor's degree,50480.0,31800.0,3.0,As fast as average,0.693,0.625,1.385,High,Oral Comprehension,Verbal,Quantitative,3.134,3.97,3.384,3.25,2.375,2.79,1.625,2.872,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.06799999999999995,0.06799999999999995
Emergency management directors,11-9161,Management,Bachelor's degree,86130.0,13200.0,3.0,As fast as average,0.6,0.422,1.031,High,Oral Comprehension,Verbal,Reasoning,3.428,4.06,3.857,2.75,2.88,3.04,2.56,3.06,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.178,0.178
Public safety telecommunicators,43-5031,Office And Administrative Support,High school diploma or equivalent,50730.0,105200.0,3.0,As fast as average,0.594,0.656,0.907,High,Oral Expression,Verbal,Attention,3.226,3.78,3.483,2.12,3.12,3.337,1.88,3.56,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.062000000000000055,0.062000000000000055
Geoscientists,19-2042,Life Physical And Social Science,Bachelor's degree,99240.0,25100.0,3.0,As fast as average,0.478,0.467,0.714,High,Inductive Reasoning,Reasoning,Quantitative,3.35,4.0,3.749,3.435,2.38,2.913,2.44,2.625,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.010999999999999954,0.010999999999999954
Compliance officers,13-1041,Business And Financial,Bachelor's degree,78420.0,418000.0,3.0,As fast as average,0.527,0.526,0.698,High,Written Comprehension,Verbal,Perceptual,3.275,4.005,3.529,2.73,2.705,3.173,2.272,2.907,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.0010000000000000009,0.0010000000000000009
Urban and regional planners,19-3051,Life Physical And Social Science,Master's degree,83720.0,44700.0,3.0,As fast as average,0.58,0.477,1.228,High,Oral Expression,Verbal,Spatial,3.245,4.03,3.609,2.94,2.25,2.583,2.63,2.815,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.10299999999999998,0.10299999999999998
"Securities, commodities, and financial services sales agents",41-3031,Sales,Bachelor's degree,78140.0,514500.0,3.0,As fast as average,0.519,0.606,1.256,High,Oral Comprehension,Verbal,Quantitative,3.08,3.856,3.447,3.19,2.46,2.64,1.52,2.67,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.08699999999999997,0.08699999999999997
Concierges,39-6012,Personal Care And Service,High school diploma or equivalent,37320.0,45600.0,2.0,Slower than average,0.7,0.467,0.856,High,Oral Expression,Verbal,Memory,2.891,3.625,3.247,2.12,2.75,2.46,1.87,2.685,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.23299999999999993,0.23299999999999993
Interpreters and translators,27-3091,Media And Communication,Bachelor's degree,59440.0,75300.0,2.0,Slower than average,0.84,0.88,1.111,High,Oral Comprehension,Verbal,Attention,3.054,4.095,3.213,1.88,2.75,2.96,1.75,3.19,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.040000000000000036,0.040000000000000036
Loan officers,13-2072,Business And Financial,Bachelor's degree,74180.0,301400.0,2.0,Slower than average,0.648,0.591,1.386,High,Oral Comprehension,Verbal,Quantitative,2.899,3.843,3.197,3.25,2.25,2.29,1.25,2.5,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.05700000000000005,0.05700000000000005
Special effects artists and animators,27-1014,Arts And Design,Bachelor's degree,99800.0,57100.0,2.0,Slower than average,0.475,0.525,0.706,High,Written Comprehension,Verbal,Spatial,3.12,3.782,3.394,2.56,2.5,2.71,2.435,3.0,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.050000000000000044,0.050000000000000044
Librarians and library media specialists,25-4022,Education Training And Library,Master's degree,64320.0,142100.0,2.0,Slower than average,0.5,0.535,1.037,High,Oral Expression,Verbal,Memory,3.108,3.91,3.429,2.31,2.88,2.957,1.625,3.0,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.03500000000000003,0.03500000000000003
Historians,19-3093,Life Physical And Social Science,Master's degree,74050.0,3400.0,2.0,Slower than average,0.5,0.474,1.099,High,Written Comprehension,Verbal,Verbal,2.905,4.25,3.359,1.81,2.25,2.167,1.5,2.56,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.026000000000000023,0.026000000000000023
Civil engineering technologists and technicians,17-3022,Architecture And Engineering,Associate's degree,64200.0,64900.0,2.0,Slower than average,0.477,0.591,0.932,High,Oral Comprehension,Verbal,Quantitative,3.269,3.782,3.377,3.69,2.25,3.0,2.81,2.81,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.11399999999999999,0.11399999999999999
Postsecondary education administrators,11-9033,Management,Master's degree,103960.0,226600.0,2.0,Slower than average,0.476,0.439,1.461,High,Written Comprehension,Verbal,Reasoning,3.345,4.09,3.857,2.88,2.75,2.873,1.81,3.065,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.03699999999999998,0.03699999999999998
Travel agents,41-3041,Sales,High school diploma or equivalent,48450.0,65700.0,2.0,Slower than average,0.562,0.562,1.134,High,Oral Comprehension,Verbal,Memory,2.935,3.72,3.124,2.94,2.88,2.29,1.625,3.0,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.0,0.0
Zoologists and wildlife biologists,19-1023,Life Physical And Social Science,Bachelor's degree,72860.0,18200.0,2.0,Slower than average,0.524,0.452,0.318,High,Oral Comprehension,Verbal,Attention,3.292,4.06,3.607,3.0,2.25,2.793,2.44,3.065,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.07200000000000001,0.07200000000000001
Instructional coordinators,25-9031,Education Training And Library,Master's degree,74720.0,232600.0,1.0,Slower than average,0.525,0.488,1.302,High,Written Comprehension,Verbal,Memory,3.331,4.266,3.723,2.69,3.0,2.833,2.0,2.97,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.03700000000000003,0.03700000000000003
Editors,27-3041,Media And Communication,Bachelor's degree,75260.0,115800.0,1.0,Slower than average,0.647,0.647,1.128,High,Written Comprehension,Verbal,Verbal,3.191,4.375,3.52,2.06,2.62,2.917,1.94,2.75,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.0,0.0
Budget analysts,13-2031,Business And Financial,Bachelor's degree,87930.0,50400.0,1.0,Slower than average,0.64,0.52,1.503,High,Oral Comprehension,Verbal,Quantitative,3.203,3.907,3.483,4.0,2.62,2.67,1.56,2.75,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.12,0.12
Technical writers,27-3042,Media And Communication,Bachelor's degree,91670.0,56400.0,1.0,Slower than average,0.633,0.7,1.184,High,Written Expression,Verbal,Verbal,2.852,4.0,3.287,1.88,2.0,2.163,2.125,2.19,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.06699999999999995,0.06699999999999995
Economists,19-3011,Life Physical And Social Science,Master's degree,115440.0,17600.0,1.0,Slower than average,0.617,0.553,1.404,High,Written Comprehension,Verbal,Quantitative,3.209,3.922,3.491,3.72,3.0,2.667,1.815,2.595,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.06399999999999995,0.06399999999999995
"Atmospheric scientists, including meteorologists",19-2021,Life Physical And Social Science,Bachelor's degree,97450.0,9400.0,1.0,Slower than average,0.609,0.565,1.374,High,Written Comprehension,Verbal,Verbal,3.291,4.218,3.589,3.125,2.62,2.96,1.81,2.875,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.04400000000000004,0.04400000000000004
Mining and geological engineers,17-2151,Architecture And Engineering,Bachelor's degree,101020.0,7000.0,1.0,Slower than average,0.5,0.481,1.347,High,Oral Comprehension,Verbal,Quantitative,3.53,4.0,3.893,3.63,2.75,3.247,2.63,2.94,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.019000000000000017,0.019000000000000017
Rehabilitation counselors,21-1015,Community And Social Service,Master's degree,46110.0,91900.0,1.0,Slower than average,0.468,0.355,0.503,High,Oral Comprehension,Verbal,Verbal,2.958,4.0,3.284,2.06,2.38,2.707,1.5,2.75,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.11300000000000004,0.11300000000000004
