occupation_title,soc_code,job_category,education_required,median_annual_wage_usd,employment_2024,projected_growth_pct_2024_2034,growth_outlook,ai_exposure_llm_human,ai_exposure_llm_gpt4,ai_exposure_aioe,ai_exposure_level,top_cognitive_ability,top_cognitive_family,distinctive_cognitive_strength,cognitive_demand_score,verbal_ability,reasoning_ability,quantitative_ability,memory_ability,perceptual_ability,spatial_ability,attention_ability,exposure_vs_median,growth_direction,four_futures_quadrant,human_gpt4_gap,abs_human_gpt4_gap,display_order
Personal financial advisors,13-2052,Business And Financial,Bachelor's degree,102140.0,326000.0,10.0,Much faster than average,0.671,0.5,1.401,High,Oral Comprehension,Verbal,Quantitative,3.18,3.97,3.539,3.5,2.5,2.75,1.5,2.685,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.17100000000000004,0.17100000000000004,11
Financial examiners,13-2061,Business And Financial,Bachelor's degree,90400.0,65100.0,19.0,Much faster than average,0.576,0.5,1.526,High,Written Comprehension,Verbal,Quantitative,3.398,4.093,3.749,3.5,2.88,3.163,1.75,2.935,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.07599999999999996,0.07599999999999996,12
Lawyers,23-1011,Legal,Doctoral or professional degree,151160.0,864800.0,4.0,As fast as average,0.475,0.425,1.329,High,Oral Expression,Verbal,Verbal,3.363,4.5,3.84,2.5,2.88,2.707,1.75,3.125,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.04999999999999999,0.04999999999999999,13
Human resources specialists,13-1071,Business And Financial,Bachelor's degree,72910.0,944300.0,6.0,Faster than average,0.589,0.644,1.36,High,Oral Comprehension,Verbal,Verbal,2.922,4.028,3.211,2.315,2.38,2.503,1.625,2.5,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.05500000000000005,0.05500000000000005,14
Public relations specialists,27-3031,Media And Communication,Bachelor's degree,69780.0,315900.0,5.0,Faster than average,0.788,0.591,1.285,High,Oral Comprehension,Verbal,Verbal,3.012,4.127,3.463,2.06,2.38,2.293,1.625,2.935,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.19700000000000006,0.19700000000000006,15
Writers and authors,27-3043,Media And Communication,Bachelor's degree,72270.0,135400.0,4.0,As fast as average,0.774,0.877,0.988,High,Written Expression,Verbal,Verbal,2.97,4.108,3.456,1.872,2.06,2.417,1.782,2.56,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.10299999999999998,0.10299999999999998,16
"News analysts, reporters, and journalists",27-3023,Media And Communication,Bachelor's degree,60280.0,49300.0,-4.0,Decline,0.633,0.65,1.175,High,Oral Expression,Verbal,Verbal,3.068,4.093,3.5,1.968,2.56,2.647,1.685,2.875,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,-0.017000000000000015,0.017000000000000015,17
Interpreters and translators,27-3091,Media And Communication,Bachelor's degree,59440.0,75300.0,2.0,Slower than average,0.84,0.88,1.111,High,Oral Comprehension,Verbal,Attention,3.054,4.095,3.213,1.88,2.75,2.96,1.75,3.19,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.040000000000000036,0.040000000000000036,18
Customer service representatives,43-4051,Office And Administrative Support,High school diploma or equivalent,42830.0,2814000.0,-5.0,Decline,0.705,0.568,0.956,High,Oral Comprehension,Verbal,Verbal,2.943,3.86,3.196,2.407,2.5,2.645,1.5,2.875,Higher exposure (at/above dataset median),Declining,Higher exposure (at/above dataset median) + Declining,0.137,0.137,19
Psychologists,19-3030,Life Physical And Social Science,See How to Become One,94310.0,204300.0,6.0,Faster than average,0.49,0.426,1.416,High,Written Comprehension,Verbal,Reasoning,3.384,4.301,3.86,2.916,2.76,2.954,1.868,2.827,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.064,0.064,20
Social workers,21-1020,Community And Social Service,See How to Become One,61330.0,810900.0,6.0,Faster than average,0.359,0.286,0.943,Medium,Oral Expression,Verbal,Verbal,3.186,4.165,3.624,2.143,2.793,2.82,1.728,2.938,Lower exposure (below dataset median),Growing,Lower exposure (below dataset median) + Growing,0.07300000000000001,0.07300000000000001,21
Architects,17-1011,Architecture And Engineering,Bachelor's degree,96690.0,123600.0,4.0,As fast as average,0.43,0.488,1.047,Medium,Visualization,Spatial,Spatial,3.607,3.97,3.981,3.44,2.75,3.417,3.185,2.875,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.057999999999999996,0.057999999999999996,22
Construction managers,11-9021,Management,Bachelor's degree,106980.0,550300.0,9.0,Much faster than average,0.4,0.444,1.029,Medium,Problem Sensitivity,Reasoning,Spatial,3.303,3.785,3.57,3.12,2.5,3.04,2.75,2.94,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,-0.043999999999999984,0.043999999999999984,23
Operations research analysts,15-2031,Math,Bachelor's degree,91290.0,112100.0,21.0,Much faster than average,0.629,0.629,1.4,High,Mathematical Reasoning,Quantitative,Quantitative,3.405,4.093,3.84,4.5,2.75,2.667,1.69,2.56,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.0,0.0,24
Computer and information systems managers,11-3021,Management,Bachelor's degree,171200.0,667100.0,15.0,Much faster than average,0.561,0.53,1.06,High,Oral Comprehension,Verbal,Reasoning,3.25,3.938,3.661,3.06,2.62,2.833,2.06,2.75,Higher exposure (at/above dataset median),Growing,Higher exposure (at/above dataset median) + Growing,0.031000000000000028,0.031000000000000028,25
