Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level
48,Master's,16,Retail,Store Manager,Large,Mid,12,92,77
26,Master's,1,Logistics,Warehouse Manager,Large,Mid,56,44,94
40,PhD,5,Manufacturing,Operator,Medium,Entry,66,24,94
56,Bachelor's,13,Retail,Inventory Analyst,Medium,Mid,50,46,82
33,Master's,4,Education,Teacher,Large,Senior,78,26,89
21,Bachelor's,0,Retail,Store Manager,Large,Entry,35,68,91
55,Bachelor's,10,Education,Academic Coordinator,Medium,Senior,32,63,72
24,Bachelor's,1,Manufacturing,Production Supervisor,Medium,Mid,81,18,73
25,Bachelor's,4,Retail,Inventory Analyst,Large,Mid,84,41,70
50,Bachelor's,13,Education,Teacher,Small,Mid,47,61,94
49,Bachelor's,0,Logistics,Warehouse Manager,Large,Mid,86,13,62
31,High School,8,Logistics,Supply Chain Analyst,Medium,Entry,65,44,46
25,High School,2,Manufacturing,Production Supervisor,Medium,Mid,21,65,65
42,High School,0,Retail,Inventory Analyst,Large,Senior,70,31,71
48,Master's,5,Manufacturing,Operator,Small,Entry,16,62,22
55,Bachelor's,13,Telecom,Operations Analyst,Small,Mid,37,56,63
30,High School,8,Telecom,Support Specialist,Medium,Mid,17,97,59
54,Bachelor's,8,Retail,Store Manager,Medium,Entry,42,55,94
23,PhD,0,Logistics,Supply Chain Analyst,Small,Entry,84,22,23
28,Bachelor's,7,IT,Software Engineer,Large,Entry,35,57,39
58,Bachelor's,3,Healthcare,Health Analyst,Medium,Entry,59,43,29
57,High School,18,Healthcare,Health Analyst,Small,Mid,47,35,68
31,Bachelor's,9,Telecom,Operations Analyst,Large,Entry,23,75,79
45,Master's,7,Finance,Financial Analyst,Medium,Mid,48,57,57
22,Bachelor's,1,Telecom,Operations Analyst,Small,Senior,16,84,70
59,Bachelor's,6,Logistics,Dispatcher,Large,Mid,36,79,93
56,Bachelor's,20,Manufacturing,Operator,Medium,Mid,77,13,64
47,Bachelor's,15,IT,ML Engineer,Small,Senior,47,48,65
38,Master's,7,Finance,Auditor,Large,Mid,77,23,24
49,High School,11,Manufacturing,Operator,Large,Senior,10,100,40
46,Bachelor's,3,Education,Teacher,Large,Entry,91,0,91
27,High School,6,Manufacturing,Quality Engineer,Small,Entry,38,80,47
40,Master's,19,Healthcare,Medical Assistant,Medium,Entry,80,3,20
50,Bachelor's,0,IT,ML Engineer,Small,Mid,49,34,66
50,Bachelor's,3,Manufacturing,Operator,Large,Senior,41,61,29
28,High School,2,Healthcare,Health Analyst,Small,Entry,68,57,86
55,Master's,13,Finance,Auditor,Large,Entry,46,44,73
41,High School,4,Manufacturing,Operator,Small,Mid,69,36,88
32,Master's,6,Retail,Store Manager,Medium,Senior,33,77,81
34,Master's,13,Education,Teacher,Medium,Entry,82,19,68
57,Bachelor's,9,IT,ML Engineer,Medium,Mid,85,5,46
37,Bachelor's,16,Education,Academic Coordinator,Medium,Mid,73,30,84
49,Bachelor's,1,IT,Software Engineer,Medium,Entry,63,29,74
40,High School,9,Education,Academic Coordinator,Large,Mid,82,14,92
60,Master's,1,Retail,Store Manager,Large,Mid,21,74,83
32,Bachelor's,6,Retail,Inventory Analyst,Large,Mid,30,78,89
46,High School,9,Finance,Accountant,Medium,Senior,35,61,26
51,Master's,7,Logistics,Supply Chain Analyst,Large,Entry,26,61,79
60,Bachelor's,0,Healthcare,Nurse,Large,Mid,34,53,77
54,High School,10,Logistics,Dispatcher,Large,Mid,41,84,29
21,Bachelor's,0,Healthcare,Medical Assistant,Small,Entry,71,26,56
57,Master's,10,Telecom,Network Engineer,Small,Entry,65,37,81
24,Bachelor's,3,Retail,Inventory Analyst,Small,Entry,50,66,22
40,PhD,11,Manufacturing,Quality Engineer,Small,Entry,59,42,22
45,High School,16,Education,Academic Coordinator,Large,Entry,38,79,28
35,High School,8,Logistics,Supply Chain Analyst,Medium,Entry,27,67,59
60,Bachelor's,12,Retail,Store Manager,Large,Mid,49,69,92
47,Master's,11,Finance,Financial Analyst,Small,Senior,67,43,61
56,Bachelor's,16,IT,ML Engineer,Small,Entry,36,67,36
27,Bachelor's,4,Retail,Inventory Analyst,Large,Entry,69,36,41
47,Master's,11,Retail,Store Manager,Medium,Entry,91,2,78
35,Master's,10,Finance,Auditor,Small,Entry,55,51,32
49,Master's,13,IT,Software Engineer,Small,Entry,76,19,75
25,PhD,4,Finance,Accountant,Medium,Senior,24,68,44
45,Master's,10,Education,Teacher,Large,Mid,12,92,93
40,Bachelor's,12,Retail,Sales Associate,Small,Mid,72,14,21
37,Bachelor's,6,Logistics,Supply Chain Analyst,Small,Mid,42,33,60
35,Bachelor's,6,Healthcare,Health Analyst,Medium,Mid,83,17,49
58,Master's,17,Logistics,Supply Chain Analyst,Small,Entry,58,48,94
28,Master's,7,Logistics,Warehouse Manager,Large,Entry,16,90,25
34,Master's,5,Retail,Store Manager,Small,Senior,54,41,72
39,Bachelor's,14,Finance,Auditor,Large,Senior,12,86,80
50,Master's,8,Telecom,Support Specialist,Medium,Mid,29,76,79
54,Master's,19,Telecom,Support Specialist,Medium,Senior,67,47,34
50,PhD,6,Logistics,Dispatcher,Small,Senior,50,43,81
26,Bachelor's,4,IT,ML Engineer,Medium,Entry,44,43,59
51,Bachelor's,9,Finance,Accountant,Large,Entry,29,58,27
57,Bachelor's,13,Telecom,Operations Analyst,Large,Mid,65,45,80
57,Master's,8,Education,Teacher,Medium,Mid,87,2,76
43,Bachelor's,11,Retail,Store Manager,Small,Entry,54,38,85
58,Master's,8,Retail,Inventory Analyst,Large,Senior,83,19,49
24,Bachelor's,3,Logistics,Supply Chain Analyst,Small,Mid,62,46,81
29,Bachelor's,7,Telecom,Network Engineer,Small,Mid,13,89,38
27,High School,6,Manufacturing,Quality Engineer,Medium,Entry,80,0,52
58,Bachelor's,9,Retail,Store Manager,Medium,Mid,12,80,85
45,Bachelor's,14,Logistics,Dispatcher,Medium,Mid,53,22,89
36,Bachelor's,12,Finance,Accountant,Large,Entry,30,72,32
47,Master's,7,IT,Software Engineer,Medium,Mid,45,47,23
30,Bachelor's,6,Retail,Store Manager,Large,Entry,65,40,84
33,Bachelor's,8,Telecom,Support Specialist,Large,Senior,18,87,61
44,Bachelor's,7,Logistics,Supply Chain Analyst,Small,Mid,64,48,88
42,High School,5,Telecom,Network Engineer,Medium,Mid,41,45,76
27,Bachelor's,4,Healthcare,Medical Assistant,Medium,Mid,33,83,79
56,High School,15,IT,Data Analyst,Large,Entry,17,68,87
47,Bachelor's,2,Manufacturing,Quality Engineer,Medium,Entry,67,41,22
28,Bachelor's,2,Manufacturing,Quality Engineer,Small,Senior,40,53,81
37,High School,0,Logistics,Supply Chain Analyst,Large,Entry,93,2,84
52,High School,15,Retail,Sales Associate,Large,Mid,23,74,85
29,Bachelor's,8,Retail,Store Manager,Large,Senior,15,85,99
58,Master's,16,IT,ML Engineer,Medium,Senior,39,53,26
47,PhD,3,Education,Teacher,Medium,Mid,34,79,97
26,High School,5,IT,ML Engineer,Medium,Entry,77,28,32
26,Bachelor's,0,Logistics,Dispatcher,Medium,Entry,11,100,30
55,High School,15,Healthcare,Nurse,Large,Entry,16,80,68
49,Bachelor's,11,Finance,Accountant,Small,Senior,71,51,26
22,High School,1,Finance,Auditor,Medium,Mid,30,64,58
41,Bachelor's,8,Finance,Auditor,Medium,Mid,64,31,45
41,PhD,2,Retail,Sales Associate,Small,Entry,18,80,77
42,High School,15,Finance,Auditor,Medium,Entry,41,74,63
21,High School,0,Retail,Inventory Analyst,Small,Entry,14,61,50
27,Bachelor's,5,IT,ML Engineer,Medium,Mid,17,94,83
23,High School,2,Finance,Financial Analyst,Medium,Mid,50,49,29
22,Master's,1,Education,Academic Coordinator,Large,Mid,20,97,29
34,Bachelor's,7,Retail,Inventory Analyst,Medium,Senior,39,63,70
52,Bachelor's,12,Education,Teacher,Medium,Mid,30,66,72
45,Master's,16,Manufacturing,Quality Engineer,Small,Entry,38,55,69
33,Master's,12,Healthcare,Health Analyst,Medium,Entry,32,63,48
36,Master's,4,Manufacturing,Quality Engineer,Medium,Senior,13,84,29
22,Bachelor's,1,Education,Teacher,Small,Mid,63,30,76
36,High School,12,IT,Data Analyst,Medium,Senior,67,24,39
58,High School,17,Finance,Accountant,Medium,Entry,66,26,64
24,High School,3,Retail,Inventory Analyst,Medium,Mid,28,79,68
32,Master's,11,Manufacturing,Production Supervisor,Medium,Entry,64,45,74
37,Bachelor's,2,Education,Teacher,Medium,Entry,24,87,75
30,Bachelor's,9,Retail,Sales Associate,Large,Entry,55,27,45
24,High School,3,Manufacturing,Production Supervisor,Large,Senior,33,76,73
44,Bachelor's,7,Logistics,Dispatcher,Small,Entry,16,83,54
26,High School,5,Manufacturing,Operator,Medium,Entry,93,17,40
26,Bachelor's,5,IT,ML Engineer,Large,Entry,23,77,76
44,Bachelor's,8,Manufacturing,Operator,Medium,Senior,21,70,69
42,High School,14,Finance,Accountant,Large,Mid,50,76,58
41,High School,18,Manufacturing,Production Supervisor,Medium,Entry,83,0,58
30,Master's,0,Finance,Auditor,Medium,Mid,24,75,33
22,High School,1,Healthcare,Medical Assistant,Medium,Senior,51,39,71
25,Master's,0,Manufacturing,Operator,Medium,Mid,64,38,28
26,Master's,5,Retail,Inventory Analyst,Medium,Senior,12,100,27
26,Bachelor's,5,Education,Teacher,Large,Mid,30,64,94
25,Bachelor's,4,Manufacturing,Operator,Medium,Mid,43,51,80
26,Bachelor's,3,Logistics,Warehouse Manager,Large,Mid,94,17,22
53,Bachelor's,14,IT,Software Engineer,Small,Entry,56,48,42
50,High School,9,Telecom,Support Specialist,Medium,Entry,49,52,47
58,Bachelor's,11,IT,Software Engineer,Small,Mid,62,43,36
35,Bachelor's,11,Education,Teacher,Medium,Entry,55,42,78
45,Bachelor's,14,Manufacturing,Production Supervisor,Small,Senior,31,64,70
40,Bachelor's,9,Logistics,Dispatcher,Medium,Mid,28,73,66
50,High School,7,Telecom,Operations Analyst,Medium,Entry,23,60,78
24,PhD,3,IT,Software Engineer,Medium,Mid,71,16,67
25,Bachelor's,4,Finance,Auditor,Small,Mid,82,20,84
32,Bachelor's,3,Healthcare,Health Analyst,Small,Entry,30,68,70
48,Bachelor's,7,IT,Data Analyst,Large,Senior,75,22,20
38,High School,6,Healthcare,Medical Assistant,Small,Entry,74,3,76
33,Bachelor's,0,Healthcare,Nurse,Large,Entry,17,93,73
41,Master's,9,Manufacturing,Quality Engineer,Medium,Mid,28,50,30
28,Bachelor's,5,IT,Data Analyst,Small,Mid,42,53,66
22,Bachelor's,1,Retail,Inventory Analyst,Small,Mid,49,56,34
31,Bachelor's,10,Retail,Inventory Analyst,Medium,Entry,82,27,89
23,High School,2,Finance,Financial Analyst,Medium,Entry,74,27,74
58,Master's,9,Telecom,Operations Analyst,Medium,Entry,54,36,49
35,Master's,7,Healthcare,Nurse,Small,Entry,42,60,88
21,Master's,0,Healthcare,Nurse,Medium,Mid,27,58,95
25,Bachelor's,4,Telecom,Network Engineer,Medium,Entry,59,42,88
47,High School,9,Healthcare,Health Analyst,Small,Mid,24,65,56
26,PhD,5,Education,Academic Coordinator,Small,Senior,26,77,41
43,Bachelor's,9,Retail,Sales Associate,Medium,Entry,60,40,40
44,Master's,6,Healthcare,Health Analyst,Medium,Entry,33,72,38
39,High School,2,Finance,Financial Analyst,Medium,Mid,63,47,40
40,PhD,6,IT,Data Analyst,Large,Mid,61,38,89
43,Bachelor's,15,Retail,Store Manager,Medium,Mid,90,21,68
28,Master's,7,Logistics,Warehouse Manager,Large,Entry,47,64,86
42,Master's,0,Manufacturing,Production Supervisor,Medium,Mid,51,63,85
50,Bachelor's,13,Retail,Store Manager,Small,Mid,34,71,65
54,High School,9,Retail,Sales Associate,Medium,Entry,84,8,79
58,Bachelor's,6,Education,Academic Coordinator,Large,Mid,69,28,85
43,Master's,5,Finance,Financial Analyst,Medium,Senior,62,39,49
45,Bachelor's,0,Education,Research Assistant,Medium,Entry,41,60,33
43,Master's,7,Telecom,Operations Analyst,Medium,Entry,43,60,94
51,Master's,11,Education,Teacher,Medium,Senior,59,34,72
29,Master's,8,Finance,Financial Analyst,Medium,Mid,24,74,89
46,Master's,12,Healthcare,Health Analyst,Medium,Entry,94,7,40
50,Bachelor's,9,Manufacturing,Production Supervisor,Medium,Mid,46,52,67
38,High School,15,Finance,Auditor,Large,Entry,22,84,50
53,Master's,16,Telecom,Support Specialist,Large,Entry,18,85,37
41,Bachelor's,7,Education,Academic Coordinator,Small,Entry,22,97,76
33,Bachelor's,11,Finance,Financial Analyst,Medium,Entry,23,74,36
45,Bachelor's,9,Retail,Sales Associate,Medium,Mid,56,49,77
27,High School,6,IT,ML Engineer,Small,Mid,67,39,31
56,Master's,9,Telecom,Network Engineer,Medium,Entry,13,89,86
24,PhD,3,Retail,Sales Associate,Large,Mid,93,12,47
27,Master's,6,Telecom,Network Engineer,Medium,Entry,62,28,91
58,Bachelor's,16,Education,Research Assistant,Medium,Senior,55,34,69
41,Master's,9,Education,Research Assistant,Large,Mid,55,49,32
53,High School,1,Finance,Auditor,Large,Mid,37,55,87
46,Bachelor's,1,Manufacturing,Operator,Large,Entry,91,10,45
28,High School,7,Manufacturing,Operator,Medium,Mid,74,40,63
48,Bachelor's,2,Telecom,Support Specialist,Large,Mid,31,75,46
47,PhD,6,Telecom,Operations Analyst,Medium,Mid,80,6,54
34,Bachelor's,13,Manufacturing,Operator,Large,Senior,35,45,39
21,High School,0,Healthcare,Nurse,Large,Entry,77,7,85
27,Master's,6,Telecom,Operations Analyst,Medium,Mid,17,92,60
35,Master's,0,Telecom,Operations Analyst,Medium,Entry,36,59,43
43,Bachelor's,8,Healthcare,Health Analyst,Medium,Mid,69,37,73
40,Bachelor's,4,Manufacturing,Quality Engineer,Small,Mid,85,21,60
57,Bachelor's,13,IT,Data Analyst,Medium,Senior,48,57,35
30,High School,9,Manufacturing,Production Supervisor,Small,Mid,90,16,71
21,PhD,0,Telecom,Operations Analyst,Medium,Entry,24,81,58
37,High School,8,Education,Academic Coordinator,Small,Entry,79,25,66
46,Master's,11,Logistics,Warehouse Manager,Medium,Entry,44,50,77
39,Master's,10,Retail,Inventory Analyst,Medium,Mid,74,24,32
30,Bachelor's,9,Logistics,Dispatcher,Medium,Mid,66,44,91
38,Bachelor's,2,Healthcare,Health Analyst,Small,Entry,21,68,46
48,Master's,5,Finance,Financial Analyst,Small,Entry,28,70,88
49,High School,8,Education,Teacher,Small,Entry,83,21,66
25,Bachelor's,4,Retail,Inventory Analyst,Medium,Entry,12,75,29
42,High School,9,Manufacturing,Production Supervisor,Medium,Entry,29,65,38
23,Bachelor's,2,Retail,Store Manager,Medium,Mid,68,11,66
48,Bachelor's,10,IT,Software Engineer,Medium,Senior,18,87,55
26,High School,5,Retail,Sales Associate,Medium,Senior,37,61,34
37,Bachelor's,15,Finance,Financial Analyst,Medium,Mid,49,61,71
54,Master's,8,Telecom,Operations Analyst,Medium,Mid,91,1,67
23,Bachelor's,2,Retail,Inventory Analyst,Medium,Mid,17,81,92
48,Bachelor's,13,Telecom,Support Specialist,Large,Mid,46,51,37
42,Bachelor's,13,Telecom,Network Engineer,Small,Mid,77,16,22
58,High School,7,Healthcare,Health Analyst,Small,Mid,80,17,86
32,Bachelor's,11,IT,Software Engineer,Medium,Mid,30,67,44
56,Bachelor's,2,Telecom,Network Engineer,Small,Entry,70,44,28
43,Bachelor's,0,Healthcare,Health Analyst,Medium,Entry,82,22,32
37,Bachelor's,12,Logistics,Supply Chain Analyst,Large,Entry,42,62,49
29,Bachelor's,8,Retail,Store Manager,Medium,Entry,56,30,79
29,Bachelor's,1,Logistics,Supply Chain Analyst,Medium,Mid,74,7,48
33,Master's,9,Logistics,Dispatcher,Medium,Senior,48,56,90
27,Master's,6,Education,Academic Coordinator,Medium,Entry,38,75,51
21,Bachelor's,0,Telecom,Operations Analyst,Large,Entry,60,42,48
35,Bachelor's,4,Logistics,Supply Chain Analyst,Large,Senior,57,42,85
38,Bachelor's,0,Logistics,Warehouse Manager,Large,Entry,73,19,83
31,High School,10,Manufacturing,Production Supervisor,Small,Mid,58,51,28
57,Bachelor's,16,Manufacturing,Operator,Medium,Mid,90,1,28
36,Bachelor's,11,Logistics,Dispatcher,Large,Mid,71,43,61
60,Bachelor's,0,Retail,Sales Associate,Large,Senior,19,67,21
38,Bachelor's,8,Logistics,Supply Chain Analyst,Medium,Mid,76,29,80
56,Master's,4,Manufacturing,Production Supervisor,Small,Mid,88,19,89
53,Bachelor's,6,Manufacturing,Quality Engineer,Small,Senior,44,55,24
60,Master's,10,Education,Research Assistant,Medium,Mid,27,68,73
51,High School,12,Finance,Accountant,Medium,Mid,25,85,32
58,High School,6,Healthcare,Nurse,Large,Mid,41,59,99
39,Master's,9,Telecom,Operations Analyst,Medium,Mid,52,48,44
25,PhD,2,Healthcare,Health Analyst,Large,Mid,51,55,94
43,High School,10,Retail,Store Manager,Medium,Senior,63,43,74
32,High School,10,Telecom,Support Specialist,Medium,Mid,55,50,62
58,Bachelor's,4,Education,Research Assistant,Small,Mid,75,55,55
28,High School,7,Logistics,Warehouse Manager,Small,Senior,93,0,64
43,PhD,13,IT,Software Engineer,Small,Senior,66,27,27
50,Bachelor's,4,Telecom,Support Specialist,Medium,Mid,80,13,39
35,Master's,0,IT,ML Engineer,Medium,Entry,65,30,79
24,High School,3,Telecom,Support Specialist,Medium,Senior,31,49,65
44,Bachelor's,1,IT,Data Analyst,Small,Mid,66,41,74
38,Bachelor's,5,Manufacturing,Quality Engineer,Large,Senior,24,91,59
36,Master's,12,Telecom,Operations Analyst,Medium,Entry,57,62,37
37,Master's,5,Retail,Sales Associate,Medium,Mid,69,53,23
52,Master's,5,Retail,Sales Associate,Small,Senior,12,83,41
52,Master's,18,Telecom,Support Specialist,Medium,Entry,58,47,88
51,Bachelor's,11,IT,Data Analyst,Small,Entry,51,45,68
33,High School,12,Education,Research Assistant,Medium,Senior,32,58,78
36,Bachelor's,15,Telecom,Operations Analyst,Medium,Senior,91,15,32
29,Bachelor's,8,Healthcare,Medical Assistant,Large,Entry,61,46,28
54,Bachelor's,5,Healthcare,Health Analyst,Large,Senior,17,71,91
51,Master's,11,IT,Data Analyst,Small,Mid,94,0,83
55,Bachelor's,0,IT,Software Engineer,Small,Entry,37,56,36
24,Bachelor's,3,Telecom,Network Engineer,Large,Entry,22,86,77
48,Master's,4,Logistics,Supply Chain Analyst,Large,Entry,89,0,23
34,Bachelor's,6,IT,Data Analyst,Large,Entry,33,87,45
23,Bachelor's,2,Telecom,Support Specialist,Large,Senior,13,100,67
45,Master's,13,Retail,Sales Associate,Large,Entry,47,56,71
25,Bachelor's,4,Education,Academic Coordinator,Small,Mid,30,68,42
31,Master's,10,Telecom,Support Specialist,Small,Mid,64,28,88
50,Master's,7,Telecom,Support Specialist,Large,Mid,73,31,80
41,Bachelor's,1,Finance,Financial Analyst,Small,Entry,85,0,20
41,Master's,7,IT,ML Engineer,Large,Entry,26,75,36
34,Bachelor's,9,IT,Data Analyst,Large,Mid,36,56,54
43,Bachelor's,6,Retail,Inventory Analyst,Medium,Entry,73,27,37
39,Master's,7,Finance,Auditor,Small,Mid,44,63,51
37,Bachelor's,16,IT,Software Engineer,Medium,Entry,88,8,87
52,Master's,9,Retail,Store Manager,Medium,Entry,33,75,71
50,Bachelor's,10,IT,ML Engineer,Medium,Mid,52,64,64
52,Bachelor's,7,Healthcare,Nurse,Large,Entry,72,43,69
42,Bachelor's,7,Healthcare,Medical Assistant,Medium,Mid,18,72,79
30,Bachelor's,2,Finance,Auditor,Small,Entry,39,56,44
50,High School,14,Retail,Sales Associate,Small,Entry,30,86,64
31,Bachelor's,4,Manufacturing,Quality Engineer,Small,Senior,68,30,66
24,Bachelor's,3,Healthcare,Health Analyst,Medium,Entry,16,88,82
37,Bachelor's,0,Finance,Accountant,Large,Senior,89,0,42
57,Master's,8,Manufacturing,Production Supervisor,Medium,Entry,30,87,83
56,Bachelor's,7,IT,Data Analyst,Small,Entry,63,36,53
56,Master's,13,Telecom,Support Specialist,Small,Mid,59,44,24
54,High School,5,Retail,Store Manager,Medium,Mid,77,31,95
30,Bachelor's,0,Retail,Store Manager,Large,Entry,40,52,88
37,Master's,15,Manufacturing,Operator,Large,Entry,62,30,43
31,Bachelor's,6,Finance,Auditor,Medium,Mid,25,83,21
30,Master's,9,IT,Data Analyst,Small,Mid,51,56,41
36,Master's,7,Telecom,Operations Analyst,Medium,Mid,82,0,29
56,High School,7,Education,Teacher,Small,Mid,87,25,92
34,High School,10,Education,Teacher,Large,Senior,31,72,78
23,Bachelor's,2,Telecom,Support Specialist,Large,Entry,78,33,89
34,Bachelor's,8,Finance,Financial Analyst,Large,Mid,87,0,62
40,Bachelor's,5,Education,Research Assistant,Medium,Entry,34,81,88
40,High School,5,Logistics,Dispatcher,Large,Mid,67,31,72
53,Bachelor's,0,Healthcare,Medical Assistant,Small,Mid,85,0,58
47,High School,3,Healthcare,Health Analyst,Small,Entry,62,42,62
43,Bachelor's,7,Manufacturing,Operator,Medium,Entry,92,0,30
39,Bachelor's,3,Logistics,Warehouse Manager,Medium,Senior,81,27,78
44,Master's,14,Telecom,Operations Analyst,Large,Mid,63,49,94
43,Bachelor's,5,Manufacturing,Quality Engineer,Medium,Mid,38,72,55
35,Bachelor's,8,Retail,Store Manager,Large,Entry,56,35,87
38,Bachelor's,6,Manufacturing,Quality Engineer,Medium,Entry,61,34,52
46,Bachelor's,4,Retail,Sales Associate,Small,Entry,70,11,55
34,Master's,7,Telecom,Support Specialist,Medium,Senior,40,57,23
50,High School,20,IT,Data Analyst,Medium,Mid,45,47,90
26,Bachelor's,5,Education,Teacher,Large,Mid,42,32,74
38,Bachelor's,6,Logistics,Supply Chain Analyst,Large,Entry,46,51,87
26,High School,0,Education,Academic Coordinator,Small,Senior,48,36,47
52,Master's,8,Education,Academic Coordinator,Large,Entry,68,38,34
49,Bachelor's,6,Manufacturing,Operator,Medium,Mid,17,81,27
43,Bachelor's,9,IT,ML Engineer,Large,Entry,87,14,63
28,High School,6,Retail,Store Manager,Small,Entry,87,10,87
48,Bachelor's,0,Retail,Inventory Analyst,Medium,Mid,93,3,86
59,High School,2,Telecom,Support Specialist,Small,Mid,75,19,93
31,Master's,10,Retail,Inventory Analyst,Medium,Mid,23,72,84
39,Bachelor's,15,Logistics,Dispatcher,Medium,Mid,61,30,68
48,Bachelor's,19,Logistics,Warehouse Manager,Medium,Entry,64,30,83
33,High School,12,IT,Software Engineer,Medium,Mid,54,64,63
40,Master's,4,Manufacturing,Production Supervisor,Medium,Mid,66,40,64
48,Bachelor's,10,Telecom,Operations Analyst,Small,Mid,47,78,25
39,Bachelor's,7,Retail,Sales Associate,Medium,Entry,44,55,64
54,Bachelor's,14,Education,Academic Coordinator,Small,Entry,51,53,38
26,Bachelor's,5,Education,Academic Coordinator,Small,Mid,48,61,37
51,Master's,14,Education,Academic Coordinator,Small,Entry,61,45,88
30,Bachelor's,1,Logistics,Warehouse Manager,Small,Mid,72,31,30
33,Master's,3,Manufacturing,Quality Engineer,Large,Entry,65,42,79
51,Master's,9,Retail,Store Manager,Large,Entry,90,29,70
40,Bachelor's,4,Retail,Sales Associate,Small,Entry,25,82,87
56,Bachelor's,14,Finance,Auditor,Medium,Entry,60,31,61
54,High School,11,Healthcare,Nurse,Large,Entry,64,33,81
31,Master's,10,Retail,Inventory Analyst,Small,Senior,30,59,78
29,High School,8,Logistics,Warehouse Manager,Medium,Mid,12,89,26
31,Bachelor's,10,Manufacturing,Production Supervisor,Medium,Entry,46,78,67
55,Master's,11,Retail,Sales Associate,Medium,Senior,33,76,42
28,Master's,7,Retail,Sales Associate,Medium,Senior,70,34,81
27,Bachelor's,6,Healthcare,Medical Assistant,Small,Senior,63,47,21
42,Bachelor's,6,IT,ML Engineer,Large,Mid,52,31,21
45,Bachelor's,12,Healthcare,Medical Assistant,Small,Entry,78,20,61
53,Master's,11,IT,Software Engineer,Medium,Entry,36,78,47
26,Master's,5,Manufacturing,Operator,Small,Mid,65,31,37
38,Master's,7,Healthcare,Health Analyst,Small,Mid,67,39,89
49,High School,4,Logistics,Supply Chain Analyst,Medium,Entry,60,53,89
44,Bachelor's,6,IT,ML Engineer,Small,Entry,66,27,49
54,Master's,6,Manufacturing,Quality Engineer,Large,Entry,88,21,75
21,Master's,0,Logistics,Warehouse Manager,Medium,Entry,60,57,35
48,Bachelor's,8,Education,Teacher,Small,Entry,77,25,78
37,Bachelor's,9,IT,Data Analyst,Large,Mid,93,0,77
53,High School,7,Logistics,Supply Chain Analyst,Medium,Senior,70,28,21
49,Bachelor's,10,Finance,Financial Analyst,Medium,Entry,43,72,90
21,Master's,0,Logistics,Supply Chain Analyst,Medium,Mid,39,67,40
32,Bachelor's,7,IT,Software Engineer,Medium,Entry,36,55,78
27,Bachelor's,2,Healthcare,Health Analyst,Small,Mid,84,12,93
